Malishevë,Malisheve,42.4822,20.7458,Kosovo,Malishevë,
Prizren,Prizren,42.2139,20.7397,Kosovo,Prizren,
Zubin Potok,Zubin Potok,42.9144,20.6897,Kosovo,Zubin Potok,
Kamenicë,Kamenice,42.5781,21.5803,Kosovo,Kamenicë,
Viti,Viti,42.3214,21.3583,Kosovo,Viti,
Shtërpcë,Shterpce,42.2394,21.0272,Kosovo,Shtërpcë,
Shtime,Shtime,42.4331,21.0397,Kosovo,Shtime,
Vushtrri,Vushtrri,42.8231,20.9675,Kosovo,Vushtrri,
Dragash,Dragash,42.0265,20.6533,Kosovo,Dragash,
Podujevë,Podujeve,42.9111,21.1899,Kosovo,Podujevë,
Fushë Kosovë,Fushe Kosove,42.6639,21.0961,Kosovo,Fushë Kosovë,
Kaçanik,Kacanik,42.2319,21.2594,Kosovo,Kaçanik,
Klinë,Kline,42.6217,20.5778,Kosovo,Klinë,
Leposaviq,Leposaviq,43.1039,20.8028,Kosovo,Leposaviq,
Pejë,Peje,42.66,20.2922,Kosovo,Pejë,
Rahovec,Rahovec,42.3994,20.6547,Kosovo,Rahovec,
Gjilan,Gjilan,42.4689,21.4633,Kosovo,Gjilan,
Lipjan,Lipjan,42.5217,21.1258,Kosovo,Lipjan,
Obiliq,Obiliq,42.6869,21.0703,Kosovo,Obiliq,
Gjakovë,Gjakove,42.3803,20.4308,Kosovo,Gjakovë,
Pristina,Pristina,42.6666,21.1724,Kosovo,Prishtinë,
Deçan,Decan,42.5378,20.2911,Kosovo,Deçan,
Istog,Istog,42.7808,20.4875,Kosovo,Istog,
Hani i Elezit,Hani i Elezit,42.15,21.2967,Kosovo,Hani i Elezit,
Junik,Junik,42.4758,20.2772,Kosovo,Junik,
Kllokot,Kllokot,42.3714,21.3744,Kosovo,Kllokot,
Mamushë,Mamushe,42.3308,20.7269,Kosovo,Mamushë,
Partesh,Partesh,42.4019,21.4336,Kosovo,Partesh,
Ranillug,Ranillug,42.4922,21.5989,Kosovo,Ranillug,
Ferizaj,Ferizaj,42.3706,21.1553,Kosovo,Ferizaj,
Zveçan,Zvecan,42.9075,20.8403,Kosovo,Zveçan,
Suharekë,Suhareke,42.3586,20.825,Kosovo,Suharekë,
Gllogovc,Gllogovc,42.6283,20.8939,Kosovo,Gllogovc,
Mitrovicë,Mitrovice,42.8833,20.8667,Kosovo,,
Skenderaj,Skenderaj,42.7467,20.7886,Kosovo,Skenderaj ,
Novobërdë,Novoberde,42.6178,21.4197,Kosovo,Novobërdë,
Graçanicë,Gracanice,42.6011,21.1958,Kosovo,Graçanicë,
Longyearbyen,Longyearbyen,78.2167,15.6333,Svalbard,,
Sanaa,Sanaa,15.3547,44.2066,Yemen,Amānat al ‘Āşimah,2008000
Marib,Marib,15.421,45.334,Yemen,Ma’rib,16794
Al Jabīn,Al Jabin,14.704,43.599,Yemen,Raymah,
Hajjah,Hajjah,15.6917,43.6021,Yemen,Ḩajjah,208287
Ibb,Ibb,13.9759,44.1709,Yemen,Ibb,234837
Al Hudaydah,Al Hudaydah,14.7979,42.953,Yemen,Al Ḩudaydah,780000
Lahij,Lahij,13.0582,44.8838,Yemen,Laḩij,66288
Al Maḩwīt,Al Mahwit,15.4701,43.5448,Yemen,Al Maḩwīt,
Taizz,Taizz,13.6045,44.0394,Yemen,Ta‘izz,751000
Sadah,Sadah,16.9398,43.8498,Yemen,Şa‘dah,105542
Dhamar,Dhamar,14.5575,44.3875,Yemen,Dhamār,191259
‘Amrān,`Amran,15.6594,43.9439,Yemen,‘Amrān,
Aḑ Ḑāli‘,Ad Dali`,13.6957,44.7314,Yemen,Aḑ Ḑāli‘,
Saywun,Saywun,15.943,48.7873,Yemen,Ḩaḑramawt,68747
Al Bayda,Al Bayda,13.979,45.574,Yemen,Al Bayḑā’,37821
Zinjibār,Zinjibar,13.1287,45.3807,Yemen,Abyan,
Rida,Rida,14.4295,44.8341,Yemen,Al Bayḑā’,45233
'Ataq,'Ataq,14.55,46.8,Yemen,Shabwah,37315
Al Ghaydah,Al Ghaydah,16.2394,52.1638,Yemen,Al Mahrah,27404
Sayhut,Sayhut,15.2105,51.2454,Yemen,Al Mahrah,189
Al Mukalla,Al Mukalla,14.5412,49.1259,Yemen,Ḩaḑramawt,258132
Al Ḩazm,Al Hazm,16.1641,44.7769,Yemen,Al Jawf,
Zabīd,Zabid,14.1951,43.3155,Yemen,Al Ḩudaydah,152504
Aden,Aden,12.7797,45.0095,Yemen,‘Adan,1000000
Hadiboh,Hadiboh,12.6519,54.0239,Yemen,Arkhabīl Suquţrá,11396
Ash Shihr,Ash Shihr,14.7593,49.6092,Yemen,Ḩaḑramawt,54274
Dzaoudzi,Dzaoudzi,-12.7871,45.275,Mayotte,,32057
Pretoria,Pretoria,-25.7069,28.2294,South Africa,Gauteng,1338000
Lebowakgomo,Lebowakgomo,-24.1996,29.5,South Africa,Limpopo,33308
Potchefstroom,Potchefstroom,-26.6996,27.1,South Africa,North West,123669
Graaff Reinet,Graaff Reinet,-32.3,24.54,South Africa,Eastern Cape,62896
Rustenburg,Rustenburg,-25.65,27.24,South Africa,North West,165976
Brandfort,Brandfort,-28.6996,26.47,South Africa,Free State,12091
Vryheid,Vryheid,-27.76,30.79,South Africa,KwaZulu-Natal,150012
Vereeniging,Vereeniging,-26.6496,27.96,South Africa,Gauteng,1074000
Brits,Brits,-25.6296,27.78,South Africa,North West,122497
Bethlehem,Bethlehem,-28.2196,28.3,South Africa,Free State,83654
Ubomba,Ubomba,-27.5661,32.0833,South Africa,KwaZulu-Natal,564
Polokwane,Polokwane,-23.89,29.45,South Africa,Limpopo,220045
Springbok,Springbok,-29.6667,17.8833,South Africa,Northern Cape,10438
Thohoyandou,Thohoyandou,-22.95,30.48,South Africa,Limpopo,269707
Pietermaritzburg,Pietermaritzburg,-29.61,30.39,South Africa,KwaZulu-Natal,750845
Poffader,Poffader,-29.1329,19.3834,South Africa,Northern Cape,4220
Carnarvon,Carnarvon,-30.9496,22.1333,South Africa,Northern Cape,5785
Kroonstad,Kroonstad,-27.66,27.21,South Africa,Free State,103992
Alexander Bay,Alexander Bay,-28.6083,16.5033,South Africa,Northern Cape,1500
Bloemhof,Bloemhof,-27.6496,25.59,South Africa,North West,17122
Hermanus,Hermanus,-34.4096,19.2299,South Africa,Western Cape,25153
Bethal,Bethal,-26.4696,29.45,South Africa,Mpumalanga,101919
Upington,Upington,-28.46,21.23,South Africa,Northern Cape,71373
Tzaneen,Tzaneen,-23.8195,30.17,South Africa,Limpopo,67245
Vanhynsdorp,Vanhynsdorp,-31.6166,18.7333,South Africa,Western Cape,3331
Musina,Musina,-22.34,30.03,South Africa,Limpopo,20191
Kimberley,Kimberley,-28.7468,24.77,South Africa,Northern Cape,165264
Durban,Durban,-29.865,30.98,South Africa,KwaZulu-Natal,2729000
Klerksdorp,Klerksdorp,-26.88,26.62,South Africa,North West,178921
Welkom,Welkom,-27.97,26.73,South Africa,Free State,431944
De Aar,De Aar,-30.65,24,South Africa,Northern Cape,32318
Prieska,Prieska,-29.6595,22.73,South Africa,Northern Cape,11236
Saldanha,Saldanha,-33.01,17.93,South Africa,Western Cape,68284
Middelburg,Middelburg,-31.5,25.01,South Africa,Eastern Cape,18164
Port St. Johns,Port St. Johns,-31.6279,29.5283,South Africa,Eastern Cape,5939
Volksrust,Volksrust,-27.3596,29.89,South Africa,Mpumalanga,43378
Ulundi,Ulundi,-28.3296,31.41,South Africa,KwaZulu-Natal,20753
Beaufort West,Beaufort West,-32.3496,22.57,South Africa,Western Cape,44737
Komatipoort,Komatipoort,-25.4096,31.94,South Africa,Mpumalanga,20508
Nelspruit,Nelspruit,-25.4745,30.9703,South Africa,Mpumalanga,
Standerton,Standerton,-26.9395,29.24,South Africa,Mpumalanga,74021
Johannesburg,Johannesburg,-26.17,28.03,South Africa,Gauteng,3435000
Kuruman,Kuruman,-27.4496,23.42,South Africa,Northern Cape,10006
Paarl,Paarl,-33.6996,18.96,South Africa,Western Cape,187865
Worcester,Worcester,-33.64,19.4399,South Africa,Western Cape,127597
Colesberg,Colesberg,-30.7195,25.1,South Africa,Northern Cape,12423
Umtata,Umtata,-31.58,28.79,South Africa,Eastern Cape,137772
Aliwal North,Aliwal North,-30.6896,26.71,South Africa,Eastern Cape,44436
Middelburg,Middelburg,-25.7596,29.47,South Africa,Mpumalanga,154706
Springs,Springs,-26.2696,28.43,South Africa,Gauteng,236083
Benoni,Benoni,-26.1496,28.3299,South Africa,Gauteng,2986000
Port Shepstone,Port Shepstone,-30.7195,30.46,South Africa,KwaZulu-Natal,52793
Oudtshoorn,Oudtshoorn,-33.58,22.19,South Africa,Western Cape,76708
Port Elizabeth,Port Elizabeth,-33.97,25.6,South Africa,Eastern Cape,1021000
Port Alfred,Port Alfred,-33.5995,26.88,South Africa,Eastern Cape,17959
East London,East London,-32.97,27.87,South Africa,Eastern Cape,338627
Mossel Bay,Mossel Bay,-34.17,22.13,South Africa,Western Cape,16743
Vryburg,Vryburg,-26.96,24.73,South Africa,North West,49588
Uitenhage,Uitenhage,-33.7596,25.39,South Africa,Eastern Cape,228912
Bhisho,Bhisho,-32.87,27.39,South Africa,Eastern Cape,160997
Knysna,Knysna,-34.0329,23.0333,South Africa,Western Cape,63106
Queenstown,Queenstown,-31.8996,26.88,South Africa,Eastern Cape,105309
Cradock,Cradock,-32.1995,25.61,South Africa,Eastern Cape,32898
Bredasdorp,Bredasdorp,-34.5295,20.03,South Africa,Western Cape,14936
Swellendam,Swellendam,-34.0196,20.43,South Africa,Western Cape,13674
Ladysmith,Ladysmith,-28.5495,29.78,South Africa,KwaZulu-Natal,47375
George,George,-33.95,22.45,South Africa,Western Cape,174582
Grahamstown,Grahamstown,-33.2996,26.52,South Africa,Eastern Cape,91548
Mmabatho,Mmabatho,-25.83,25.61,South Africa,North West,104428
Mahikeng,Mahikeng,-25.8652,25.6442,South Africa,North West,
Bloemfontein,Bloemfontein,-29.12,26.2299,South Africa,Free State,463064
Cape Town,Cape Town,-33.92,18.435,South Africa,Western Cape,3215000
Zambezi,Zambezi,-13.54,23.1099,Zambia,North-Western,7074
Solwezi,Solwezi,-12.1796,26.4,Zambia,North-Western,65000
Lusaka,Lusaka,-15.4166,28.2833,Zambia,Lusaka,1328000
Kaoma,Kaoma,-14.7796,24.8,Zambia,Western,14212
Chipata,Chipata,-13.6296,32.64,Zambia,Eastern,85963
Senanga,Senanga,-16.1196,23.27,Zambia,Western,10005
Sesheke,Sesheke,-17.4695,24.3,Zambia,Western,20149
Chililabombwe,Chililabombwe,-12.3696,27.82,Zambia,Copperbelt,82068
Chingola,Chingola,-12.5396,27.85,Zambia,Copperbelt,182015
Kasempa,Kasempa,-13.4596,25.82,Zambia,North-Western,5622
Kitwe,Kitwe,-12.81,28.22,Zambia,Copperbelt,404901
Mufulira,Mufulira,-12.55,28.26,Zambia,Copperbelt,153624
Nchelenge,Nchelenge,-9.3496,28.73,Zambia,Luapula,23693
Mazabuka,Mazabuka,-15.86,27.76,Zambia,Southern,64006
Lukulu,Lukulu,-14.3896,23.24,Zambia,Western,3349
Kafue,Kafue,-15.78,28.18,Zambia,Lusaka,47554
Lundazi,Lundazi,-12.2895,33.17,Zambia,Eastern,11635
Mansa,Mansa,-11.2,28.89,Zambia,Luapula,42277
Mwinilunga,Mwinilunga,-11.7396,24.44,Zambia,North-Western,13798
Mumbwa,Mumbwa,-14.9796,27.07,Zambia,Central,19086
Kalabo,Kalabo,-14.9896,22.68,Zambia,Western,7731
Nyimba,Nyimba,-14.5495,30.81,Zambia,Eastern,1336
Kapiri Mposhi,Kapiri Mposhi,-13.9696,28.66,Zambia,Central,37942
Kabwe,Kabwe,-14.44,28.45,Zambia,Central,188979
Ndola,Ndola,-12.9999,28.65,Zambia,Copperbelt,396339
Kasama,Kasama,-10.1996,31.1799,Zambia,Northern,200000
Mbala,Mbala,-8.84,31.37,Zambia,Northern,20570
Kawambwa,Kawambwa,-9.7795,29.08,Zambia,Luapula,20589
Luanshya,Luanshya,-13.1333,28.4,Zambia,Copperbelt,151993
Mongu,Mongu,-15.2796,23.12,Zambia,Western,52534
Mpika,Mpika,-11.83,31.46,Zambia,Muchinga,28445
Chinsali,Chinsali,-10.5496,32.06,Zambia,Muchinga,14015
Livingstone,Livingstone,-17.86,25.86,Zambia,Southern,165480
Choma,Choma,-16.8095,26.97,Zambia,Southern,46746
